"id_identificacion";"id_directorio";"idrph";"region_h";"region_15_h";"r_p_c";"r_p_c_15";"esth";"esth_15";"sech";"tipo";"mesh";"vivh";"hogh";"ano_encuesta";"edadjh";"sexojh";"cursojh";"niveljh";"termino_niveljh";"cinejh";"proveedor";"nacionalidad";"conyugaljh";"informante";"grupo_edad";"totperh";"totmenh";"totmayh";"totfth";"totocuph";"totdesoh";"totffth";"perch";"percocuh";"grujh1";"cisejh";"b8jh";"b9jh";"b10jh";"b11jh";"b12jh";"ram_subcjh1";"ramjh1";"temjh";"b16jh";"meses_empleo";"tme";"b19jh";"hor_habjh";"hor_efejh";"gru_cesjh1";"cise_cesjh";"ram_cesjh1";"ss_t";"svar_t";"reg_t";"ing_t_d";"gan_t";"ing_t_cp";"ing_t_emp";"autoconsumo_t";"ahorroimp_t";"ing_t_i";"ing_t_i_ai";"ing_ot";"ing_t_t";"ing_t_t_ai";"ing_a_p";"ing_a_ob";"ing_a_t";"tipo_vivienda";"vivienda_otro";"div_imp";"alq_imp";"ing_cah";"ing_int";"ing_div";"ing_p_t";"jubvejez_t";"jubinvalidez_t";"montepio_t";"ing_jub";"porfand_t";"pdiscap_t";"pestado_t";"paliment_t";"potras_t";"ing_pen";"suf_t";"subotros_t";"ing_sube";"ing_subc";"becaest_t";"donaciones_t";"remesas_t";"ing_bdr";"salext_t";"otrafuent_t";"ing_otros";"ing_aut";"ing_mon";"ing_total";"ing_prom";"ing_prom_aut";"cse_especificojh";"fact_cal_esi";"decilh";"ing_total_e"
122290;15974;563828;8;8;8106;8106;8071;8071;;1;11;2;1;2012;74;2;4;3;2;3;"1";"0";4;"1";7;2;0;2;0;0;0;2;1;0;;0;;;;;;"";;;;;;;;;5;"3";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"";0;20000;0;0;0;0;0;0;120000;120000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120000;120000;140000;70000;60000;19;71,3640472527556;1;9990966,61538578
110693;5133;506726;6;6;6301;6301;6059;6059;903;3;11;8;1;2012;46;1;4;4;1;5;"1";"0";1;"0";5;3;0;3;2;2;0;1;2;2;9;3;1;1;1;2;1;"";1;4;8;2;1;2;45;45;;"";;210000;0;0;210000;0;0;0;0;0;0;0;0;210000;210000;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210000;210000;210000;70000;70000;1;84,9825851802751;1;17846342,8878578
122240;15440;563577;10;10;10301;10301;10041;10041;;1;11;10;1;2012;35;2;4;9;1;7;"1";"0";5;"1";4;2;1;1;0;0;0;1;1;0;;0;;;;;;"";;;;;;;;;4;"3";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140000;0;140000;0;0;0;140000;140000;140000;70000;70000;12;61,4956277741994;1;8609387,88838792
126839;17354;586385;13;13;13106;13106;13041;13041;;1;11;5;1;2012;68;2;2;3;2;3;"0";"0";2;"1";7;2;0;2;0;0;0;2;2;0;;0;;;;;;"";;;;;;;;;9;"3";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;0;0;0;140000;0;0;140000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140000;140000;140000;70000;70000;21;234,497660686486;1;32829672,496108
119957;15134;552812;13;13;13111;13111;13181;13181;;1;10;5;1;2012;42;1;3;4;2;5;"1";"0";2;"0";4;6;2;4;1;1;0;3;4;1;7;3;1;2;;2;1;"";4;3;1;9;3;2;45;27;;"";;191068,00589753;0;0;191068,00589753;0;0;0;0;0;0;0;0;191068,00589753;191068,00589753;0;0;0;1;"";0;0;0;0;0;0;0;0;60337,2650202726;60337,2650202726;0;0;0;0;0;0;15575,0593438997;0;15575,0593438997;0;153150,057316623;0;0;153150,057316623;0;0;0;404555,328234426;420130,387578325;420130,387578325;70021,7312630542;67425,888039071;1;712,908191266284;1;299514394,704467
145990;14589;678734;13;13;13401;13401;13381;13381;;1;10;1;1;2012;79;1;8;3;1;4;"1";"0";4;"1";7;4;1;3;1;0;1;2;1;0;;0;;;;;;"";;;;;;;;;8;"3";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"";0;120674.530040545;0;0;0;0;0;145815,057132325;0;145815,057132325;0;0;0;0;0;0;0;13667,3961481754;13667,3961481754;0;0;0;0;0;0;0;0;145815,057132325;159482,453280501;280156,983321046;70039,2458302615;36453,7642830814;21;101,268692877482;1;28371131,5014208
99347;15877;449834;16;8;16301;8416;16039;8039;389;3;10;7;1;2012;39;1;8;3;1;4;"1";"0";1;"0";4;5;2;3;2;2;0;1;2;1;9;3;1;1;3;2;2;"15";12;3;6;1;1;2;50;55;;"";;155267,895318835;0;20112,4216734242;175380,316992259;0;0;0;0;0;0;0;0;175380,316992259;175380,316992259;0;0;0;3;"";0;30168.6325101363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15575,0593438997;0;15575,0593438997;0;129137,837080722;0;0;129137,837080722;0;0;0;304518,154072981;320093,213416881;350261,845927017;70052,3691854034;60903,6308145962;1;367,938974310029;1;128874984,330324
100863;15486;457760;7;7;7406;7406;7099;7099;289;3;11;4;1;2012;52;1;8;3;1;4;"1";"0";1;"0";5;3;0;3;3;3;0;0;2;2;6;2;;;;;;"";1;1;4;395;8;2;50;50;;"";;0;0;0;0;160384;160384;0;0;350000;160384;-189616;0;160384;-189616;0;0;0;3;"";0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160384;160384;210384;70128;53461,3333333333;1;118,944650439574;1;25024051,3380793
90549;3859;404823;5;5;5503;5503;5099;5099;906;3;10;5;1;2012;35;1;4;3;2;3;"1";"0";2;"0";4;6;3;3;1;0;1;2;2;0;;0;;;;;;"";;;;;;;;;9;"3";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"";0;80449.6866936968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38213,601179506;0;38213,601179506;0;302117,736546258;0;0;302117,736546258;0;0;0;302117,736546258;340331,337725764;420781,024419461;70130,1707365768;50352,956091043;8;82,1452817460575;1;34565175,8043313
110190;4224;504092;16;8;16301;8416;16022;8022;213;2;10;8;1;2012;86;2;0;0;2;1;"1";"0";4;"1";7;4;0;4;2;2;0;2;2;0;;0;;;;;;"";;;;;;;;;9;"3";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"";0;40224.8433468484;0;0;0;0;0;0;160899,373387394;160899,373387394;0;79444,0656100256;0;0;0;79444,0656100256;0;0;0;0;0;0;0;0;0;0;0;240343,438997419;240343,438997419;280568,282344268;70142,0705860669;60085,8597493548;21;445,373483912946;1;124957673,383138
